,Derived,Consensus
,27.9,27.9
ADPtn,2.128322847544262e-07,0.0
ATPtn,0.0,0.0
FACOAE140,0.0,0.0
FACOAL260,0.0,-8.435070595685748e-08
GLCter,0.0,0.0
DAGL_PP,0.0,0.0
M4MPDOLter,0.0,0.0
M7MASNBterg,0.0,0.0
MANter,0.0,0.0
MIPCS124_SC,0.0,0.0
MIPCS126_SC,0.0,0.0
MIPCS224_SC,0.0,0.0
MIPCS226_SC,0.0,0.0
MIPCS324_SC,2.7430682147754508e-09,7.950625738576154e-08
MIPCS326_SC,2.6710883181986485e-09,5.193537439814838e-08
NADH2_u6mh,0.22371581601970414,0.23235390499546613
NDPK10,0.0,0.0
NTP10,0.0,0.0
NTP5,0.0,0.0
NTP7,0.0,0.0
NTP9,0.0,0.0
SPHK21c,-1.2592502652841414e-07,-3.888778985310748e-09
POLYPPE,0.0,0.0
NDP11,0.0,0.0
PHEPYRAT,0.0,0.0
NDP10,0.0,0.0
MAGL_PP,0.0,0.0
CERASE116,-4.5261471454671496e-09,-7.374521051645602e-09
CERASE118,0.0,0.0
CERASE16d4,-1.3483798380733923e-08,-8.735343243124381e-10
CERASE18d4,-1.1244122814768022e-07,-3.01524466099831e-09
CERASE124,0.0,0.0
CERASE126,0.0,-8.435070595685748e-08
PYDXNDH,0.0,0.0
NDP12,0.0,0.0
LSERDHr2,0.0,0.0
GLCCERS16d4,0.0,0.0
GLCCERS16d8,1.0301615742667224e-09,3.6591930783877403e-09
GLCCERS16m9,1.0004503870176736e-09,3.553657234838355e-09
GLCCERS18,3.8381293937513733e-10,1.363325604681821e-09
GLCCERS18d4,5.94571244247044e-10,2.1119512083391542e-09
GLCCERS18d8,3.9164904782503265e-09,1.3911599119571267e-08
GLCCERS18m9,1.0449476680380324e-08,3.7117141326921415e-08
CERS116,0.0,0.0
CERS118,0.0,6.439432038129184e-08
CER4DS16,0.0,0.0
CER4DS18,-6.589817889831403e-08,0.0
CER4DS2d16,4.5261471454671496e-09,7.374521051645602e-09
CER4DS2d18,4.993537613824179e-08,5.540650136114958e-08
PYDXS,0.0,0.0
TYRPYRAT,0.0,0.0
OPMT1,0.0,0.0
OPMT2,0.0,0.0
HCO3DH,0.0,0.0
FAcoaRavge,0.00010332129768744816,7.583225370300221e-05
FARavge,0.0,0.0
STERYLEST,0.0,3.592682528689015e-06
Nglycmann,0.0,0.0
Oglycmann,0.0,0.0
FACOAL180p,0.0,0.0
FACOAL181p,0.0,0.0
FACOAL182p,0.0,0.0
FACOAL183p,0.0,0.0
FACOAL240,0.0,0.0
PTE141x,0.0,0.0
PTE161x,0.0,0.0
PTE181x,0.0,0.0
PTE182x,0.0,0.0
PTE183x,0.0,0.0
PTE260x,0.0,0.0
DESAT182,2.2110757705113906e-05,1.6228102292442472e-05
POLYPPX,0.0,0.0
CER8DS16,4.8658542543704206e-09,3.1522947675986485e-10
CER8DS18,1.3213595187376109e-08,8.560294820363824e-10
CER8DS2d16,2.030611961284396e-09,7.212850313226095e-09
CER8DS2d18,2.296194354569677e-08,5.158562213613663e-08
CER9MET16,1.0004503870176736e-09,3.553657234838355e-09
CER9MET18,1.0449476680380324e-08,3.7117141326921415e-08
SBPP3er,0.0,0.0
SGPL12,-1.2592502652841414e-07,-3.888778985310748e-09
HXDCEALR,-1.2592502652841414e-07,-3.888778985310748e-09
CERavg,2.196773929738339e-07,1.4231579086224147e-08
CERS2d16,4.5261471454671496e-09,7.374521051645602e-09
CERS2d18,5.0319189077616924e-08,5.6769826965831405e-08
CERS424,1.072122610548052e-09,5.61629097895824e-09
CERS426,9.61783991424385e-10,3.9348074979852875e-09
GLCCERavg,1.7374963303537228e-08,6.171686757273975e-08
IPC116PLC_PP,0.0,0.0
IPC118PLC_PP,0.0,0.0
IPC424PLC_PP,0.0,0.0
IPC426PLC_PP,0.0,0.0
IPCavg,2.4567623063231854e-08,6.80762542904029e-08
IPCS116_PP,0.0,0.0
IPCS118_PP,2.4444784947915698e-09,6.77358730189509e-09
IPCS424_PP,1.072122610548052e-09,5.61629097895824e-09
IPCS426_PP,9.61783991424385e-10,3.9348074979852875e-09
mip2c424plc_pp,0.0,0.0
mip2c426plc_pp,0.0,0.0
MIP2Cavg,9.702457788633232e-10,6.80762542904029e-08
mip2cs424_pp,1.0381629833837558e-11,7.28415920907311e-10
mip2cs426_pp,0.0,0.0
mipc424plc_pp,0.0,0.0
mipc426plc_pp,0.0,0.0
MIPCavg,4.731059356287428e-09,6.80762542904029e-08
MIPCS424_SC,1.7786113104641252e-10,3.138315322787574e-09
MIPCS426_SC,1.0928747113023959e-10,1.572561474108307e-09
SPHLIPIDS,0.0,2.8014919461071157e-07
SPHS1Pter,0.0,0.0
OGLYCOStg,0.0,0.0
CHITINtg,0.0,0.0
MANNANtg,0.0,0.0
FARCOAtm,0.0,0.0
FACOAtm,0.0,0.0
CLPNtm,0.0,8.713501949915009e-08
DEDOLPP,0.0,0.0
DEDOLS,0.0,0.0
NADHter,4.64479169243138e-05,1.8265111776102766e-05
NADter,-4.64479169243138e-05,-1.8265111776102766e-05
NADPHter,4.5432123278469946e-05,1.691532001584877e-05
NADPter,-4.5432123278469946e-05,-1.691532001584877e-05
GPAILter,0.0,0.0
PI34BP4P_PP,0.0,0.0
12DGRter,0.0,0.0
PEter,0.0,0.0
PAter,0.0,0.0
DUDPtn,0.0,0.0
MI13456Ptn,0.0,0.0
PMI23456PH,0.0,0.0
PMI23456PS,0.0,0.0
PMI12456PH,0.0,0.0
PMI12456PS,0.0,0.0
DPMI2346PH1,0.0,0.0
DPMI2346PS1,0.0,0.0
DPMI2346PH5,0.0,0.0
DPMI2346PS5,0.0,0.0
DPMI1246PH3,0.0,0.0
DPMI1246PS3,0.0,0.0
DPMI1246PH5,0.0,0.0
DPMI1246PS5,0.0,0.0
DNADtn,0.0,0.0
DOLter,0.0,0.0
2HBO,0.0,0.0
2HBt2,0.0,0.0
34HPPt2p,0.0,0.0
3C4MOPtm,9.256920254194386e-05,0.0001254243608964577
4ABUTNtm,0.0,0.0
4ABUTtm,0.0,0.0
4H2OGLTtm,0.0,0.0
4H2OGLTtp,0.0,0.0
4HPRO_LTtm,0.0,0.0
8AONNt2,0.0,0.0
AABTN,0.0,0.0
AACTOOR,0.0,0.0
AASAD2,8.703535231161361e-05,0.00010810127573462299
ACCOAtn,0.0,0.0
ACRNtp,0.0,0.0
ACtp,0.0,0.0
ADEtm,0.0,0.0
AHMMPS,0.0,0.0
AKGt2n,0.0,0.0
AKGtp,0.0,0.0
AOBUTDs,0.0,0.0
APRTO2,0.0,0.0
ARAB1D2,0.0,0.0
ARAB_Dt,0.0,0.0
ARGt2m,0.0,0.0
ASNt2m,0.0,0.0
CBPSn,0.0,0.0
CBPtn,0.0,0.0
CDPtn,0.0,0.0
CITtap,0.0,0.0
CITtcp,0.0,0.0
CMPN,0.0,0.0
CO2tp,0.0,0.0
COAtn,0.0,0.0
CRNtp,0.0,0.0
CYSTtp,0.0,0.0
DADPtn,-2.128322847544262e-07,0.0
DANNt2,0.0,0.0
DCDPtn,0.0,0.0
DDPAm,0.0,0.00010368641527642997
