,Derived,Consensus
,5.9,5.9
ADPtn,0.0,-1.0470702712580245e-07
ATPtn,0.0,0.0
FACOAE140,0.0,0.0
FACOAL260,0.0,-8.893613637865206e-06
GLCter,0.0,0.0
DAGL_PP,0.0,0.0
M4MPDOLter,0.0,0.0
M7MASNBterg,0.0,0.0
MANter,0.0,0.0
MIPCS124_SC,0.0,0.0
MIPCS126_SC,0.0,1.2202086804094692e-07
MIPCS224_SC,0.0,-1.2202086804094692e-07
MIPCS226_SC,0.0,0.0
MIPCS324_SC,5.921132723077068e-08,8.382833634413052e-06
MIPCS326_SC,3.753319557486374e-08,5.4758658957904935e-06
NADH2_u6mh,6.525507587407911,6.662765554071011
NDPK10,0.0,0.0
NTP10,0.0,0.0
NTP5,0.0,0.0
NTP7,0.0,0.0
NTP9,0.0,0.0
SPHK21c,0.0,-4.1001788219878673e-07
POLYPPE,0.0,0.0
NDP11,0.0,0.0
PHEPYRAT,0.0,0.0
NDP10,0.0,0.0
MAGL_PP,0.0,0.0
CERASE116,-2.330933584942824e-06,0.0
CERASE118,0.0,0.0
CERASE16d4,2.0091274857642973e-06,-9.210209555118582e-08
CERASE18d4,-2.0091274857642973e-06,-3.179157866476009e-07
CERASE124,0.0,0.0
CERASE126,0.0,0.0
PYDXNDH,0.0,0.0
NDP12,0.0,0.0
LSERDHr2,0.0,0.0
GLCCERS16d4,0.0,0.0
GLCCERS16d8,1.840693171918082e-08,3.8581122820923444e-07
GLCCERS16m9,1.787605208956707e-08,3.7468393523845025e-07
GLCCERS18,6.8579713556536406e-09,1.4374380217814113e-07
GLCCERS18d4,1.0623801710750004e-08,2.2267600319311857e-07
GLCCERS18d8,6.99798697726522e-08,1.4667854435932457e-06
GLCCERS18m9,1.8671129710292692e-07,3.913488459391392e-06
CERS116,0.0,7.775411035822802e-07
CERS118,0.0,6.7894891862201366e-06
CER4DS16,2.250059693922079e-06,0.0
CER4DS18,-1.177483514725047e-06,0.0
CER4DS2d16,8.087389102074528e-08,7.775411035822802e-07
CER4DS2d18,8.922549630601058e-07,5.841848156954952e-06
PYDXS,0.0,0.0
TYRPYRAT,0.0,0.0
OPMT1,0.0,0.0
OPMT2,0.0,0.0
HCO3DH,0.0,0.0
FAcoaRavge,0.0030448778918957396,0.007995460833108132
FARavge,0.0,0.0
STERYLEST,0.0,0.00037879861195247146
Nglycmann,0.0,0.0
Oglycmann,0.0,0.0
FACOAL180p,0.0,0.0
FACOAL181p,0.0,0.0
FACOAL182p,0.0,0.0
FACOAL183p,0.0,0.0
FACOAL240,0.0,0.0
PTE141x,0.0,0.0
PTE161x,0.0,0.0
PTE181x,0.0,0.0
