,Derived,Consensus
,0.0,0.0
ADPtn,0.0,0.0
ATPtn,0.0,0.0
FACOAE140,0.0,0.0
FACOAL260,0.0,0.0
GLCter,0.0,0.0
DAGL_PP,0.0,0.0
M4MPDOLter,0.0,0.0
M7MASNBterg,0.0,0.0
MANter,0.0,0.0
MIPCS124_SC,0.0,0.0
MIPCS126_SC,0.0,2.2490730030055346e-07
MIPCS224_SC,0.0,-2.2490730030055346e-07
MIPCS226_SC,0.0,0.0
MIPCS324_SC,2.9110293701373545e-07,1.545113153064802e-05
MIPCS326_SC,1.8452590939047479e-07,1.009304584701719e-05
NADH2_u6mh,3.967383264677444,3.9676050659838125
NDPK10,0.0,0.0
NTP10,0.0,0.0
NTP5,0.0,0.0
NTP7,0.0,0.0
NTP9,0.0,0.0
SPHK21c,-1.0402301918936644e-06,-7.557397061733266e-07
POLYPPE,0.0,0.0
NDP11,0.0,0.0
PHEPYRAT,0.0,0.0
NDP10,0.0,0.0
MAGL_PP,0.0,0.0
CERASE116,-2.2162426387432636e-07,0.0
CERASE118,0.0,0.0
CERASE16d4,-2.3366634649014867e-07,-1.6976140225038898e-07
CERASE18d4,-8.065638454035157e-07,-5.859783039229376e-07
CERASE124,0.0,0.0
CERASE126,0.0,0.0
PYDXNDH,0.0,0.0
NDP12,0.0,0.0
LSERDHr2,0.0,0.0
GLCCERS16d4,0.0,0.0
GLCCERS16d8,9.049403094756322e-08,7.111223117431143e-07
GLCCERS16m9,8.788406648609697e-08,6.906126279333533e-07
GLCCERS18,3.37158566981223e-08,2.649467341272625e-07
GLCCERS18d4,5.222981512945882e-08,4.1043355553802276e-07
GLCCERS18d8,3.440421574614644e-07,2.703560133074977e-06
GLCCERS18m9,9.179290799826951e-07,7.213291777794338e-06
CERS116,0.0,1.4331537980923103e-06
CERS118,2.3963666657642127e-06,1.2514299462122752e-05
CER4DS16,0.0,0.0
CER4DS18,0.0,0.0
CER4DS2d16,2.2162426387432636e-07,1.4331537980923103e-06
