,Derived,Consensus
,27.9,27.9
ADPtn,8.025110302200801e-06,0.0
ATPtn,0.0,0.0
FACOAE140,0.0,0.0
FACOAL260,0.0,-3.1805499816597237e-06
GLCter,0.0,0.0
DAGL_PP,0.0,0.0
M4MPDOLter,0.0,0.0
M7MASNBterg,0.0,0.0
MANter,0.0,0.0
MIPCS124_SC,0.0,0.0
MIPCS126_SC,0.0,0.0
MIPCS224_SC,0.0,0.0
MIPCS226_SC,0.0,0.0
MIPCS324_SC,1.0343085408980096e-07,2.997883925232984e-06
MIPCS326_SC,1.0071676111167805e-07,1.958288934463776e-06
NADH2_u6mh,8.435487604601535,8.761197667389709
NDPK10,0.0,0.0
NTP10,0.0,0.0
NTP5,0.0,0.0
NTP7,0.0,0.0
NTP9,0.0,0.0
SPHK21c,-4.748162285924382e-06,-1.4663132679333903e-07
POLYPPE,0.0,0.0
NDP11,0.0,0.0
PHEPYRAT,0.0,0.0
NDP10,0.0,0.0
MAGL_PP,0.0,0.0
CERASE116,-1.7066409886204903e-07,-2.7806563714543323e-07
CERASE118,0.0,0.0
CERASE16d4,-5.084236605498165e-07,-3.293771578618536e-08
CERASE18d4,-4.239738625374566e-06,-1.1369361100715367e-07
CERASE124,0.0,0.0
CERASE126,0.0,-3.1805499816597237e-06
PYDXNDH,0.0,0.0
NDP12,0.0,0.0
LSERDHr2,0.0,0.0
GLCCERS16d4,0.0,0.0
GLCCERS16d8,3.884354421190481e-08,1.379744999918327e-07
GLCCERS16m9,3.772324634375913e-08,1.3399513762067342e-07
GLCCERS18,1.447215199259533e-08,5.1405915075385125e-08
GLCCERS18d4,2.2419060261956188e-08,7.963378967314074e-08
GLCCERS18d8,1.4767622366006852e-07,5.245544281187216e-07
GLCCERS18m9,3.940107256616912e-07,1.399548727274213e-06
CERS116,0.0,0.0
CERS118,0.0,2.428069240018704e-06
CER4DS16,0.0,0.0
CER4DS18,-2.4847741261779276e-06,0.0
CER4DS2d16,1.7066409886204903e-07,2.7806563714543323e-07
