,Derived,Consensus
,16.9,16.9
ADPtn,0.0,0.0
ATPtn,0.0,0.0
FACOAE140,0.0,0.0
FACOAL260,-4.16646763326954e-08,-1.3274248427899015e-07
GLCter,0.0,0.0
DAGL_PP,0.0,0.0
M4MPDOLter,0.0,0.0
M7MASNBterg,0.0,0.0
MANter,0.0,0.0
MIPCS124_SC,4.770489452075478e-10,0.0
MIPCS126_SC,0.0,0.0
MIPCS224_SC,0.0,0.0
MIPCS226_SC,0.0,0.0
MIPCS324_SC,2.293326586652277e-09,1.2511878829453704e-07
MIPCS326_SC,1.7561005524360754e-09,8.173056219702228e-08
NADH2_u6mh,0.2350270275425046,0.2415075324683521
NDPK10,0.0,0.0
NTP10,0.0,0.0
NTP5,0.0,0.0
NTP7,0.0,0.0
NTP9,0.0,0.0
SPHK21c,-5.018436838497509e-08,-6.119761268934739e-09
POLYPPE,0.0,0.0
NDP11,0.0,0.0
PHEPYRAT,0.0,0.0
NDP10,0.0,0.0
MAGL_PP,0.0,0.0
CERASE116,-3.783991231549281e-09,-1.1605264397713855e-08
CERASE118,-5.509291396972637e-08,0.0
CERASE16d4,-1.1272887580859181e-08,-1.374678670401516e-09
CERASE18d4,-3.891148080411591e-08,-4.745082598533223e-09
CERASE124,0.0,0.0
CERASE126,-4.16646763326954e-08,-1.3274248427899015e-07
PYDXNDH,0.0,0.0
NDP12,0.0,0.0
LSERDHr2,0.0,0.0
GLCCERS16d4,0.0,0.0
GLCCERS16d8,8.61241578242448e-10,5.7584625305935045e-09
GLCCERS16m9,8.364022613459294e-10,5.5923810509626236e-09
GLCCERS18,3.2087749137081593e-10,2.145461921079617e-09
GLCCERS18d4,4.970768562566465e-10,3.323572066063581e-09
GLCCERS18d8,3.2742867962831877e-09,2.1892646972863582e-08
GLCCERS18m9,8.736031330254523e-09,5.841114775719749e-08
CERS116,0.0,0.0
CERS118,0.0,1.0133717274686268e-07
CER4DS16,0.0,0.0
CER4DS18,0.0,0.0
CER4DS2d16,3.783991231549281e-09,1.1605264397713855e-08
CER4DS2d18,4.174748021819009e-08,8.719306557609574e-08
PYDXS,0.0,0.0
TYRPYRAT,0.0,0.0
OPMT1,0.0,0.0
OPMT2,0.0,0.0
HCO3DH,0.0,0.0
FAcoaRavge,0.00010917584361111034,0.00011933701835476825
FARavge,0.0,0.0
STERYLEST,0.0,5.653795053331539e-06
Nglycmann,0.0,0.0
Oglycmann,0.0,0.0
FACOAL180p,0.0,0.0
FACOAL181p,0.0,0.0
FACOAL182p,0.0,0.0
FACOAL183p,0.0,0.0
FACOAL240,-7.276338848455628e-08,0.0
PTE141x,0.0,0.0
PTE161x,0.0,0.0
PTE181x,0.0,0.0
PTE182x,0.0,0.0
PTE183x,0.0,0.0
PTE260x,0.0,0.0
DESAT182,2.336363053277761e-05,2.5538121927920405e-05
POLYPPX,0.0,0.0
CER8DS16,4.068010099642079e-09,4.960757991103549e-10
CER8DS18,1.1046989051623977e-08,1.3471313461168328e-09
CER8DS2d16,1.6976438395883774e-09,1.1350843581556129e-08
CER8DS2d18,1.919682987367065e-08,8.118015798149169e-08
CER9MET16,8.364022613459294e-10,5.5923810509626236e-09
CER9MET18,8.736031330254523e-09,5.841114775719749e-08
SBPP3er,0.0,0.0
SGPL12,-5.018436838497509e-08,-6.119761268934739e-09
HXDCEALR,-5.018436838497509e-08,-6.119761268934739e-09
CERavg,1.8365734084162888e-07,2.2396198605433628e-08
CERS2d16,3.783991231549281e-09,1.1605264397713855e-08
CERS2d18,4.206835770956091e-08,8.933852749717535e-08
CERS424,8.963389189120975e-10,8.838342353197454e-09
CERS426,8.040910748518282e-10,6.192196218361368e-09
